Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;Popolazione straniera iscritta in anagrafe al 31 dicembre 2014 per municipio, sesso e cittadinanza;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cittadinanza;Continente Politico;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;Municipio e sesso;;;;;;;;;;;;;;;;;;Totale ;;
;;1;;;2;;;3;;;4;;;5;;;6;;;7;;;8;;;9;;;10;;;11;;;12;;;13;;;14;;;15;;;n.i.;;;;;
;;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF;M;F;MF
MESSICO;AMERICA CENTRALE;75;131;206;16;44;60;9;25;34;9;9;18;15;25;40;11;19;30;16;43;59;21;29;50;15;14;29;6;13;19;13;16;29;60;48;108;169;76;245;8;11;19;13;65;78;0;0;0;456;568;1.024
GIAPPONE;ASIA;45;105;150;21;62;83;12;55;67;11;50;61;8;35;43;4;23;27;26;83;109;20;46;66;48;72;120;5;44;49;9;33;42;14;52;66;17;33;50;15;25;40;11;36;47;0;0;0;266;754;1.020
MALI;AFRICA;843;12;855;4;1;5;1;1;2;1;0;1;5;3;8;93;4;97;1;0;1;3;0;3;5;3;8;1;1;2;3;3;6;3;5;8;3;1;4;3;3;6;9;4;13;0;0;0;978;41;1.019
GEORGIA;ASIA;12;78;90;10;75;85;16;65;81;15;51;66;8;100;108;3;30;33;25;129;154;4;41;45;2;28;30;9;40;49;3;26;29;4;51;55;8;34;42;3;25;28;0;30;30;0;0;0;122;803;925
TURCHIA;EUROPA NON COMUNITARIA;525;40;565;14;16;30;11;3;14;7;5;12;49;21;70;27;9;36;18;13;31;17;10;27;9;9;18;20;16;36;18;12;30;5;4;9;3;1;4;4;4;8;6;10;16;0;1;1;733;174;907
BOLIVIA;AMERICA DEL SUD;29;75;104;25;56;81;16;34;50;24;29;53;29;55;84;12;15;27;33;47;80;13;14;27;10;20;30;3;12;15;15;25;40;14;28;42;25;34;59;46;68;114;31;56;87;0;0;0;325;568;893
ALGERIA;AFRICA;69;19;88;29;17;46;34;21;55;37;24;61;108;48;156;55;40;95;30;19;49;33;18;51;14;8;22;21;12;33;55;26;81;18;9;27;8;2;10;25;27;52;17;17;34;3;0;3;556;307;863
IRAQ;ASIA;588;42;630;5;4;9;4;3;7;4;1;5;15;7;22;24;18;42;15;14;29;2;6;8;5;2;7;3;0;3;1;1;2;3;4;7;15;3;18;21;8;29;11;8;19;1;0;1;717;121;838
PORTOGALLO;EUROPA COMUNITARIA;78;83;161;51;84;135;14;15;29;8;14;22;13;27;40;7;15;22;8;24;32;22;27;49;14;19;33;7;20;27;10;17;27;7;19;26;19;34;53;20;30;50;51;70;121;0;0;0;329;498;827
ARGENTINA;AMERICA DEL SUD;52;76;128;56;50;106;14;19;33;14;15;29;24;20;44;17;17;34;25;36;61;16;22;38;29;16;45;26;31;57;10;25;35;12;35;47;24;24;48;20;27;47;26;40;66;0;0;0;365;453;818
